"EXP","GCM","RCM","BC","HM","variable","timestep","localisation","url"
"historical","CNRM-CERFACS-CNRM-CM5","CNRM-ALADIN63","MF-ADAMONT","CTRIP","debit","day","France","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/CNRM-CERFACS-CNRM-CM5/CNRM-ALADIN63/historical/debit_France_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_CNRM-ALADIN63_v2_MF-ADAMONT-SAFRAN-1980-2011_MF-ISBA-CTRIP_day_19510801-20050731.nc"
"rcp26","CNRM-CERFACS-CNRM-CM5","CNRM-ALADIN63","MF-ADAMONT","CTRIP","debit","day","France","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/CNRM-CERFACS-CNRM-CM5/CNRM-ALADIN63/rcp26/debit_France_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_CNRM-ALADIN63_v2_MF-ADAMONT-SAFRAN-1980-2011_MF-ISBA-CTRIP_day_20050801-21000731.nc"
"rcp45","CNRM-CERFACS-CNRM-CM5","CNRM-ALADIN63","MF-ADAMONT","CTRIP","debit","day","France","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/CNRM-CERFACS-CNRM-CM5/CNRM-ALADIN63/rcp45/debit_France_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_CNRM-ALADIN63_v2_MF-ADAMONT-SAFRAN-1980-2011_MF-ISBA-CTRIP_day_20050801-21000731.nc"
"rcp85","CNRM-CERFACS-CNRM-CM5","CNRM-ALADIN63","MF-ADAMONT","CTRIP","debit","day","France","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/CNRM-CERFACS-CNRM-CM5/CNRM-ALADIN63/rcp85/debit_France_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v2_MF-ADAMONT-SAFRAN-1980-2011_MF-ISBA-CTRIP_day_20050801-21000731.nc"
"historical","CNRM-CERFACS-CNRM-CM5","MOHC-HadREM3-GA7-05","MF-ADAMONT","CTRIP","debit","day","France","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/CNRM-CERFACS-CNRM-CM5/MOHC-HadREM3-GA7-05/historical/debit_France_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_MOHC-HadREM3-GA7-05_v2_MF-ADAMONT-SAFRAN-1980-2011_MF-ISBA-CTRIP_day_19520801-20050731.nc"
"rcp85","CNRM-CERFACS-CNRM-CM5","MOHC-HadREM3-GA7-05","MF-ADAMONT","CTRIP","debit","day","France","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/CNRM-CERFACS-CNRM-CM5/MOHC-HadREM3-GA7-05/rcp85/debit_France_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_MOHC-HadREM3-GA7-05_v2_MF-ADAMONT-SAFRAN-1980-2011_MF-ISBA-CTRIP_day_20050801-21000731.nc"
"historical","ICHEC-EC-EARTH","KNMI-RACMO22E","MF-ADAMONT","CTRIP","debit","day","France","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/ICHEC-EC-EARTH/KNMI-RACMO22E/historical/debit_France_ICHEC-EC-EARTH_historical_r12i1p1_KNMI-RACMO22E_v1_MF-ADAMONT-SAFRAN-1980-2011_MF-ISBA-CTRIP_day_19500801-20050731.nc"
"rcp26","ICHEC-EC-EARTH","KNMI-RACMO22E","MF-ADAMONT","CTRIP","debit","day","France","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/ICHEC-EC-EARTH/KNMI-RACMO22E/rcp26/debit_France_ICHEC-EC-EARTH_rcp26_r12i1p1_KNMI-RACMO22E_v1_MF-ADAMONT-SAFRAN-1980-2011_MF-ISBA-CTRIP_day_20050801-21000731.nc"
"rcp45","ICHEC-EC-EARTH","KNMI-RACMO22E","MF-ADAMONT","CTRIP","debit","day","France","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/ICHEC-EC-EARTH/KNMI-RACMO22E/rcp45/debit_France_ICHEC-EC-EARTH_rcp45_r12i1p1_KNMI-RACMO22E_v1_MF-ADAMONT-SAFRAN-1980-2011_MF-ISBA-CTRIP_day_20050801-21000731.nc"
"rcp85","ICHEC-EC-EARTH","KNMI-RACMO22E","MF-ADAMONT","CTRIP","debit","day","France","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/ICHEC-EC-EARTH/KNMI-RACMO22E/rcp85/debit_France_ICHEC-EC-EARTH_rcp85_r12i1p1_KNMI-RACMO22E_v1_MF-ADAMONT-SAFRAN-1980-2011_MF-ISBA-CTRIP_day_20050801-21000731.nc"
"historical","ICHEC-EC-EARTH","MOHC-HadREM3-GA7-05","MF-ADAMONT","CTRIP","debit","day","France","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/ICHEC-EC-EARTH/MOHC-HadREM3-GA7-05/historical/debit_France_ICHEC-EC-EARTH_historical_r12i1p1_MOHC-HadREM3-GA7-05_v1_MF-ADAMONT-SAFRAN-1980-2011_MF-ISBA-CTRIP_day_19520801-20050731.nc"
"rcp26","ICHEC-EC-EARTH","MOHC-HadREM3-GA7-05","MF-ADAMONT","CTRIP","debit","day","France","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/ICHEC-EC-EARTH/MOHC-HadREM3-GA7-05/rcp26/debit_France_ICHEC-EC-EARTH_rcp26_r12i1p1_MOHC-HadREM3-GA7-05_v1_MF-ADAMONT-SAFRAN-1980-2011_MF-ISBA-CTRIP_day_20050801-20990731.nc"
